분류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,구글코드
코스피,제일약품,271980,의약품 제조업,의약품,2017-07-17,12월,성석제,http://www.jeilpharm.co.kr,서울특별시,KRX:271980
코스피,카카오,035720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷 서비스(인터넷 광고),2017-07-10,12월,임지훈,http://www.kakaocorp.com,제주특별자치도,KRX:035720
코스피,오리온,271560,기타 식품 제조업,스낵 등 과자류,2017-07-07,12월,이경재,http://www.orionworld.com,서울특별시,KRX:271560
코스피,미원에스씨,268280,기초 화학물질 제조업,에너지경화수지,2017-05-22,12월,임한순,http://www.miramer.co.kr,전라북도,KRX:268280
코스피,경동도시가스,267290,연료용 가스 제조 및 배관공급업,도시가스,2017-05-12,12월,"송재호, 나윤호",http://www.kdgas.co.kr,울산광역시,KRX:267290
코스피,넷마블게임즈,251270,소프트웨어 개발 및 공급업,온라인·모바일 게임 소프트웨어 개발 및 공급,2017-05-12,12월,권영식,http://www.netmarble.com,서울특별시,KRX:251270
코스피,아이엔지생명,079440,보험업,생명보험상품,2017-05-11,12월,정문국,http://www.inglife.co.kr,서울특별시,KRX:079440
코스피,현대건설기계,267270,일반 목적용 기계 제조업,"굴삭기, 지게차, 휠로더 등",2017-05-10,12월,공기영,http://www.hyundai-ce.com,서울특별시,KRX:267270
코스피,현대로보틱스,267250,기타 금융업,"산업용 로봇, 클린용 로봇, 조선 기자재 등",2017-05-10,12월,윤중근,,대구광역시,KRX:267250
코스피,현대일렉트릭,267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","변압기, 고압차단기, 회전기, 배전반 등",2017-05-10,12월,주영걸,http://www.hyundai-elec.com,서울특별시,KRX:267260
코스피,크라운제과,264900,기타 식품 제조업,"비스킷, 스낵, 당과",2017-04-11,12월,장완수,http://www.crown.co.kr,서울특별시,KRX:264900
코스피,덴티움,145720,의료용 기기 제조업,치과용 기기 제조업,2017-03-15,12월,"강희택,김용근",http://www.dentium.co.kr,서울특별시,KRX:145720
코스피,호전실업,111110,봉제의복 제조업,스포츠웨어 및 아웃도어 웨어 OEM,2017-02-02,12월,박용철 박진호,http://www.hojeon.com,서울특별시,KRX:111110
코스피,핸즈코퍼레이션,143210,자동차 신품 부품 제조업,자동차 알루미늄 휠,2016-12-02,12월,승현창,http://www.handscorp.co.kr,인천광역시,KRX:143210
코스피,두산밥캣,241560,기타 금융업,"Compact Equipment, Heavy Equipment, Portable Power",2016-11-18,12월,"스캇성철박,김종선",http://www.doosanbobcat.com,서울특별시,KRX:241560
코스피,삼성바이오로직스,207940,기초 의약물질 및 생물학적 제제 제조업,바이오의약품,2016-11-10,12월,김태한,http://www.samsungbiologics.com,인천광역시,KRX:207940
코스피,JW생명과학,234080,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",2016-10-27,12월,차성남,http://www.jw-lifescience.co.kr,충청남도,KRX:234080
코스피,화승엔터프라이즈,241590,기타 금융업,,2016-10-04,12월,이계영,http://www.hsenterprise.co.kr,서울특별시,KRX:241590
코스피,LS전선아시아,229640,기타 금융업,,2016-09-22,12월,신용현,http://www.lscnsasia.co.kr,경기도,KRX:229640
코스피,모두투어리츠,204210,부동산 임대 및 공급업,"호텔 부동산 취득, 관리, 개량 및 처분",2016-09-22,12월,양병선 (단독대표이사),http://www.modetourreit.com,서울특별시,KRX:204210
코스피,일동제약,249420,의약품 제조업,"아로나민, 후루마린, 큐란, 라비에트, 사미온 등",2016-08-31,12월,윤웅섭,http://www.ildong.com,서울특별시,KRX:249420
코스피,샘표식품,248170,기타 식품 제조업,간장,2016-08-09,12월,박진선,http://www.sempio.com,서울특별시,KRX:248170
코스피,두올,016740,자동차 신품 부품 제조업,시트 커버 및 시트 원단,2016-07-29,12월,조인회,http://www.idual.co.kr,서울특별시,KRX:016740
코스피,동서,026960,음·식료품 및 담배 도매업,"식품 유통, 다류 및 연포장재 제조 등",2016-07-15,12월,김종원,http://www.dongsuh.com,서울특별시,KRX:026960
코스피,한국자산신탁,123890,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",2016-07-13,12월,김규철,http://www.kait.com,서울특별시,KRX:123890
코스피,한국토지신탁,034830,신탁업 및 집합투자업,부동산신탁 등,2016-07-11,12월,김두석,http://www.koreit.co.kr,서울특별시,KRX:034830
코스피,해성디에스,195870,전자부품 제조업,반도체 패키지용 Substrate,2016-06-24,12월,조돈엽,http://www.haesungds.com,경상남도,KRX:195870
코스피,용평리조트,070960,일반 및 생활 숙박시설 운영업,"리조트 운영, 콘도 분양",2016-05-27,12월,정창주,http://www.yongpyong.co.kr,강원도,KRX:070960
코스피,해태제과식품,101530,기타 식품 제조업,"홈런볼, 오예스, 맛동산, 부라보콘 등",2016-05-11,12월,신정훈,http://www.ht.co.kr,충청남도,KRX:101530
코스피,대림씨엔에스,004440,"시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 골재, 강교제작",2016-03-30,12월,배동호,http://www.daelimcns.co.kr,서울특별시,KRX:004440
코스피,제이에스코퍼레이션,194370,"가죽, 가방 및 유사제품 제조업",핸드백 및 지갑,2016-02-04,12월,홍재성,http://www.jskor.com,서울특별시,KRX:194370
코스피,코리아오토글라스,152330,유리 및 유리제품 제조업,자동차 안전 유리,2015-12-29,12월,우종철,http://kac.kccworld.co.kr,세종특별자치시,KRX:152330
코스피,잇츠한불,226320,생활용품 도매업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",2015-12-28,12월,김홍창,http://www.itsskin.com,서울특별시,KRX:226320
코스피,세진중공업,075580,선박 및 보트 건조업,"선박 Deck House, LPG Tank, Upper Deck Unit, 해양플랜트 Living Quarter",2015-11-30,12월,가백현,http://www.sejinheavy.com,울산광역시,KRX:075580
코스피,금호에이치티,214330,자동차 신품 부품 제조업,자동차용 전구 및 LED모듈,2015-11-11,12월,조석래,http://www.kumhoht.co.kr,광주광역시,KRX:214330
코스피,제주항공,089590,항공 여객 운송업,"여객운송서비스, 화물운송서비스",2015-11-06,12월,"안용찬, 최규남",http://www.jejuair.net,제주특별자치도,KRX:089590
코스피,현대코퍼레이션홀딩스,227840,음·식료품 및 담배 도매업,"브랜드사업, 육류유통",2015-10-23,12월,장안석,http://www.hyundaicnf.com,서울특별시,KRX:227840
코스피,LIG넥스원,079550,무기 및 총포탄 제조업,정밀유도무기 등,2015-10-02,12월,권희원,http://www.lignex1.com,경기도,KRX:079550
코스피,동일제강,002690,1차 철강 제조업,"PC강연선, 경강선, 도금선, 마봉강",2015-09-24,12월,"김익중,김우진",http://www.dongil-steel.com,경기도,KRX:002690
코스피,아이콘트롤스,039570,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC",2015-09-24,12월,정현,http://www.icontrols.co.kr,경기도,KRX:039570
코스피,AJ네트웍스,095570,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 고소장비 등)",2015-08-21,12월,반채운,http://www.ajnet.co.kr,서울특별시,KRX:095570
코스피,이노션,214320,광고업,광고대행 및 광고물의 제작 등,2015-07-17,12월,안건희,http://www.innocean.com,서울특별시,KRX:214320
코스피,토니모리,214420,기타 화학제품 제조업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",2015-07-10,12월,배해동,http://www.etonymoly.com,서울특별시,KRX:214420
코스피,미래에셋생명,085620,보험업,생명보험상품,2015-07-08,12월,김재식,http://life.miraeasset.com,서울특별시,KRX:085620
코스피,경보제약,214390,기초 의약물질 및 생물학적 제제 제조업,"아토르바스타틴, 세프티족심, 세프트리약손",2015-06-29,12월,강태원,http://www.kbpharma.co.kr,충청남도,KRX:214390
코스피,SK디앤디,210980,부동산 임대 및 공급업,"비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)",2015-06-23,12월,함스테판윤성,http://www.skdnd.com,경기도,KRX:210980
코스피,엔에스쇼핑,138250,무점포 소매업,TV홈쇼핑,2015-03-27,12월,도상철,http://pr.nsmall.com,경기도,KRX:138250
코스피,세화아이엠씨,145210,특수 목적용 기계 제조업,"타이어 금형, 타이어 제조설비",2015-03-19,12월,유희열,http://www.saehwaimc.com,광주광역시,KRX:145210
코스피,한솔제지,213500,"펄프, 종이 및 판지 제조업","인쇄용지, 산업용지, 특수지 제조 및 판매",2015-01-26,12월,이상훈,http://www.hansolpaper.co.kr,서울특별시,KRX:213500
코스피,디와이파워,210540,특수 목적용 기계 제조업,유공압기기 등,2015-01-15,12월,김지현,http://power.dy.co.kr,경상남도,KRX:210540
코스피,삼성물산,028260,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",2014-12-18,12월,"최치훈, 김신, 김봉영",http://www.samsungcnt.com,서울특별시,KRX:028260
코스피,씨에스윈드,112610,"구조용 금속제품, 탱크 및 증기발생기 제조업",풍력발전타워 제조,2014-11-27,12월,"김성권, 김성섭",http://www.cswindcorp.com,충청남도,KRX:112610
코스피,우리은행,000030,은행 및 저축기관,"은행법에 의한 은행업무, 자본시장과 금융투자업에 관한 법률에 의한 신탁업무 및 외국환업무",2014-11-19,12월,이광구,http://www.wooribank.com,서울특별시,KRX:000030
코스피,삼성에스디에스,018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO",2014-11-14,12월,정유성,http://www.sds.samsung.co.kr,서울특별시,KRX:018260
코스피,만도,204320,자동차 신품 부품 제조업,"제동장치, 조향장치, 현가장치",2014-10-06,12월,"성일모, 정경호 (각자 대표이사)",http://www.mando.com,경기도,KRX:204320
코스피,서연이화,200880,자동차 신품 부품 제조업,자동차 도어 트림 및 시트,2014-08-08,12월,김근식,http://www.seoyoneh.com,서울특별시,KRX:200880
코스피,쿠쿠전자,192400,가정용 기기 제조업,주방용 전기기기 제조업,2014-08-06,12월,구본학,http://www.cuckoo.co.kr,경상남도,KRX:192400
코스피,화인베스틸,133820,1차 철강 제조업,"조선용 형강(부등변 부등후 앵글, 부등호 앵글, 등변앵글 평철 등)",2014-07-22,12월,장인화,http://www.finebesteel.com,경상남도,KRX:133820
코스피,광주은행,192530,은행 및 저축기관,은행업 등,2014-05-22,12월,김 한,http://www.kjbank.com,광주광역시,KRX:192530